city,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,state_code,race,count
SAVANNAH,Georgia,30.3,69389.0,76295.0,145684,9717.0,10355.0,2.57,GA,American Indian and Alaska Native,2116
DECATUR,Illinois,40.4,34646.0,38210.0,72856,5291.0,1224.0,2.23,IL,Asian,1343
EDMOND,Oklahoma,32.5,45191.0,44899.0,90090,5006.0,5585.0,2.68,OK,White,78979
SAINT PETERSBURG,Florida,41.8,123524.0,133564.0,257088,20247.0,28567.0,2.42,FL,Asian,10893
SANTA ANA,California,30.8,167503.0,167920.0,335423,4735.0,152999.0,4.58,CA,Hispanic or Latino,262436
TRENTON,New Jersey,33.3,42581.0,41650.0,84231,2604.0,20428.0,3.04,NJ,Hispanic or Latino,30613
DAVIS,California,26.3,33493.0,34163.0,67656,2176.0,13997.0,2.69,CA,Hispanic or Latino,9041
HESPERIA,California,29.4,43588.0,49698.0,93286,3739.0,16667.0,3.52,CA,Hispanic or Latino,53765
CEDAR PARK,Texas,34.4,31248.0,33589.0,64837,3090.0,5207.0,3.05,TX,Asian,5654
BAKERSFIELD,California,30.6,182154.0,191473.0,373627,12284.0,71575.0,3.23,CA,Asian,31929
MEDFORD,Oregon,38.6,39606.0,40189.0,79795,6632.0,6185.0,2.65,OR,Hispanic or Latino,14294
PASADENA,Texas,31.5,78827.0,74959.0,153786,5735.0,38072.0,2.95,TX,Asian,1570
IRVING,Texas,32.3,117189.0,119428.0,236617,6207.0,86756.0,2.78,TX,Hispanic or Latino,97862
WILMINGTON,North Carolina,35.5,52346.0,63601.0,115947,5908.0,7401.0,2.24,NC,Hispanic or Latino,6811
WHITTIER,California,36.1,44397.0,43039.0,87436,2790.0,17145.0,3.11,CA,Asian,3503
CHARLESTON,South Carolina,35.0,63956.0,71568.0,135524,9368.0,5767.0,2.4,SC,American Indian and Alaska Native,633
GREENVILLE,North Carolina,26.2,39897.0,50691.0,90588,4283.0,4183.0,2.4,NC,American Indian and Alaska Native,917
REDONDO BEACH,California,43.0,34855.0,33330.0,68185,3014.0,13536.0,2.34,CA,Hispanic or Latino,8858
WALNUT CREEK,California,47.6,31994.0,36912.0,68906,4977.0,13624.0,2.22,CA,Hispanic or Latino,5212
KNOXVILLE,Tennessee,33.1,89978.0,95334.0,185312,10897.0,10285.0,2.21,TN,Hispanic or Latino,8640
NORTH RICHLAND HILLS,Texas,39.9,35257.0,33948.0,69205,5175.0,7854.0,2.64,TX,Asian,5295
COLUMBUS,Ohio,32.5,413981.0,435086.0,849067,40238.0,101129.0,2.4,OH,Black or African-American,256764
STAMFORD,Connecticut,35.4,64941.0,63936.0,128877,2269.0,44003.0,2.7,CT,Black or African-American,24329
CLIFTON,New Jersey,38.5,41932.0,44409.0,86341,2603.0,27979.0,3.11,NJ,Hispanic or Latino,33176
BAY,Texas,32.9,37977.0,37508.0,75485,3478.0,13192.0,2.59,TX,Hispanic or Latino,31672
SCRANTON,Pennsylvania,38.5,37975.0,39137.0,77112,5059.0,8069.0,2.39,PA,Hispanic or Latino,11301
LOVELAND,Colorado,37.6,37042.0,38146.0,75188,5667.0,3050.0,2.53,CO,Asian,1549
LOWELL,Massachusetts,33.4,54422.0,56298.0,110720,3764.0,33414.0,2.8,MA,Hispanic or Latino,22095
LOWELL,Massachusetts,33.4,54422.0,56298.0,110720,3764.0,33414.0,2.8,MA,Black or African-American,7310
PLYMOUTH,Minnesota,38.4,39035.0,36893.0,75928,4158.0,8830.0,2.46,MN,Asian,5561
LAS VEGAS,Nevada,37.5,310568.0,313201.0,623769,42397.0,127609.0,2.79,NV,Asian,55745
MOUNT PLEASANT,South Carolina,42.7,39429.0,41880.0,81309,3981.0,4701.0,2.53,SC,Black or African-American,3730
MENIFEE,California,37.1,42866.0,44297.0,87163,6821.0,12481.0,3.06,CA,Black or African-American,7773
BLOOMINGTON,Illinois,35.1,37972.0,40323.0,78295,3888.0,7287.0,2.34,IL,Black or African-American,11240
WARNER ROBINS,Georgia,31.4,35093.0,38909.0,74002,6974.0,3210.0,2.5,GA,American Indian and Alaska Native,1309
TALLAHASSEE,Florida,26.2,89390.0,100504.0,189894,9575.0,16720.0,2.38,FL,Black or African-American,69135
HEMET,California,36.8,38622.0,45251.0,83873,5613.0,13330.0,2.97,CA,White,67817
ARLINGTON,Virginia,34.4,113981.0,115183.0,229164,12719.0,55205.0,2.19,VA,American Indian and Alaska Native,845
ANAHEIM,California,33.6,179603.0,171135.0,350738,9796.0,137133.0,3.45,CA,American Indian and Alaska Native,2489
CORONA,California,37.1,79749.0,84493.0,164242,7709.0,42131.0,2.97,CA,Hispanic or Latino,68592
FRANKLIN,Tennessee,38.3,34991.0,37644.0,72635,3303.0,6876.0,2.73,TN,Asian,3911
COLLEGE STATION,Texas,22.9,54125.0,53774.0,107899,2471.0,16145.0,2.52,TX,Black or African-American,11316
PEORIA,Arizona,36.9,80139.0,91103.0,171242,13019.0,14260.0,2.97,AZ,American Indian and Alaska Native,3108
BEND,Oregon,37.3,42294.0,44723.0,87017,6199.0,3032.0,2.39,OR,Hispanic or Latino,8173
TURLOCK,California,36.2,33190.0,39103.0,72293,3397.0,14686.0,2.76,CA,Black or African-American,2307
THORNTON,Colorado,33.1,65482.0,67977.0,133459,7261.0,17949.0,2.97,CO,American Indian and Alaska Native,2967
CRANSTON,Rhode Island,39.9,38365.0,42712.0,81077,4702.0,10631.0,2.56,RI,American Indian and Alaska Native,839
WHITTIER,California,36.1,44397.0,43039.0,87436,2790.0,17145.0,3.11,CA,Hispanic or Latino,61249
WHITTIER,California,36.1,44397.0,43039.0,87436,2790.0,17145.0,3.11,CA,Black or African-American,1262
ROCHESTER,New York,31.4,100135.0,109673.0,209808,7288.0,17735.0,2.36,NY,Black or African-American,93072
ROCHESTER,New York,31.4,100135.0,109673.0,209808,7288.0,17735.0,2.36,NY,Asian,8748
NORFOLK,Virginia,30.2,128917.0,117476.0,246393,29445.0,16702.0,2.51,VA,American Indian and Alaska Native,3259
RICHARDSON,Texas,35.5,54676.0,56151.0,110827,4797.0,29579.0,2.83,TX,American Indian and Alaska Native,1439
MISSION,Texas,32.9,40530.0,42777.0,83307,2383.0,22608.0,3.51,TX,Asian,3075
BUFFALO,New York,33.1,124537.0,133529.0,258066,11231.0,24630.0,2.27,NY,Black or African-American,101254
OCEANSIDE,California,39.4,87482.0,88232.0,175714,18051.0,37492.0,2.72,CA,Asian,20882
COLUMBIA,Missouri,26.8,56544.0,62554.0,119098,4548.0,10729.0,2.37,MO,Black or African-American,15489
BOISE,Idaho,34.9,110099.0,108181.0,218280,16004.0,13409.0,2.61,ID,Black or African-American,4413
PEMBROKE PINES,Florida,40.3,77050.0,89574.0,166624,6849.0,62210.0,2.94,FL,Asian,12910
TOMS RIVER,New Jersey,43.7,43864.0,43886.0,87750,5042.0,6852.0,2.71,NJ,Asian,4691
PLYMOUTH,Minnesota,38.4,39035.0,36893.0,75928,4158.0,8830.0,2.46,MN,Black or African-American,6938
LAS VEGAS,Nevada,37.5,310568.0,313201.0,623769,42397.0,127609.0,2.79,NV,White,429142
LAYTON,Utah,29.5,37748.0,36394.0,74142,3811.0,4268.0,3.24,UT,Black or African-American,2710
ANCHORAGE,Alaska,32.2,152945.0,145750.0,298695,27492.0,33258.0,2.77,AK,White,212696
SAN DIEGO,California,34.5,693826.0,701081.0,1394907,92489.0,373842.0,2.73,CA,Hispanic or Latino,425414
KENNER,Louisiana,36.9,33993.0,33113.0,67106,2485.0,12352.0,2.57,LA,White,44863
AURORA,Illinois,31.7,101964.0,101751.0,203715,4988.0,50980.0,3.3,IL,American Indian and Alaska Native,1179
MADISON,Wisconsin,30.7,122596.0,126360.0,248956,9707.0,30090.0,2.23,WI,Black or African-American,20424
DAYTON,Ohio,32.8,66631.0,73966.0,140597,8465.0,7381.0,2.26,OH,Hispanic or Latino,4945
SUGAR LAND,Texas,42.1,43889.0,44240.0,88129,4377.0,31169.0,2.95,TX,Asian,33469
ANN ARBOR,Michigan,28.1,58789.0,58281.0,117070,3614.0,20717.0,2.17,MI,Hispanic or Latino,5888
PEORIA,Arizona,36.9,80139.0,91103.0,171242,13019.0,14260.0,2.97,AZ,Black or African-American,8514
CHARLOTTE,North Carolina,34.3,396646.0,430475.0,827121,36046.0,128897.0,2.52,NC,Black or African-American,301568
CONCORD,North Carolina,35.7,42732.0,44961.0,87693,4621.0,8847.0,2.72,NC,American Indian and Alaska Native,216
MURRIETA,California,35.3,49363.0,60453.0,109816,7242.0,19875.0,3.3,CA,Asian,16041
ABILENE,Texas,31.3,65212.0,60664.0,125876,9367.0,8129.0,2.64,TX,Hispanic or Latino,33222
CENTREVILLE,Virginia,36.0,34749.0,37033.0,71782,3779.0,27797.0,2.97,VA,Hispanic or Latino,9613
DEERFIELD BEACH,Florida,41.4,37155.0,42614.0,79769,3882.0,23642.0,2.46,FL,American Indian and Alaska Native,698
BUENA PARK,California,35.7,41593.0,41671.0,83264,3116.0,28430.0,3.55,CA,Hispanic or Latino,32915
SKOKIE,Illinois,43.4,31382.0,33437.0,64819,1066.0,27424.0,2.78,IL,Asian,20272
MISSOURI CITY,Texas,37.2,34932.0,36846.0,71778,4274.0,18556.0,3.03,TX,White,20590
ORANGE,California,35.0,67337.0,73658.0,140995,3993.0,34550.0,3.14,CA,Black or African-American,2853
HOOVER,Alabama,38.5,38040.0,46799.0,84839,4819.0,8229.0,2.58,AL,Hispanic or Latino,3430
GRAND PRAIRIE,Texas,33.1,90811.0,96944.0,187755,7073.0,44888.0,3.18,TX,Hispanic or Latino,85543
DELTONA,Florida,39.9,44853.0,43621.0,88474,5664.0,7098.0,2.89,FL,Asian,1292
DELTONA,Florida,39.9,44853.0,43621.0,88474,5664.0,7098.0,2.89,FL,American Indian and Alaska Native,651
KIRKLAND,Washington,40.8,42159.0,45108.0,87267,5156.0,18570.0,2.3,WA,Black or African-American,1041
FORT SMITH,Arkansas,34.9,43346.0,44849.0,88195,3408.0,13177.0,2.44,AR,Hispanic or Latino,17104
TUSCALOOSA,Alabama,29.1,47293.0,51045.0,98338,3647.0,4706.0,2.67,AL,American Indian and Alaska Native,261
WEST COVINA,California,39.8,51629.0,56860.0,108489,3800.0,37038.0,3.56,CA,White,48046
SPRINGFIELD,Illinois,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22,IL,Black or African-American,25327
O'FALLON,Missouri,36.0,41762.0,43270.0,85032,5783.0,3269.0,2.77,MO,American Indian and Alaska Native,685
MIAMI,Florida,40.4,215840.0,225149.0,440989,7233.0,260789.0,2.5,FL,Asian,4613
MUNCIE,Indiana,27.4,32446.0,37255.0,69701,2968.0,1062.0,2.35,IN,Hispanic or Latino,2499
BELLINGHAM,Washington,30.7,41286.0,43857.0,85143,4703.0,8713.0,2.44,WA,White,74183
MISSION VIEJO,California,44.9,48849.0,48314.0,97163,4713.0,17308.0,2.85,CA,Hispanic or Latino,18913
DALE CITY,Virginia,33.4,35984.0,35415.0,71399,6085.0,22306.0,3.65,VA,Hispanic or Latino,23868
APPLE VALLEY,California,34.3,32873.0,39312.0,72185,5714.0,5801.0,3.03,CA,Asian,2281
ESCONDIDO,California,33.3,76551.0,74907.0,151458,8110.0,46298.0,3.27,CA,Black or African-American,5631
UNION CITY,New Jersey,35.4,35376.0,33773.0,69149,705.0,40553.0,2.85,NJ,American Indian and Alaska Native,545
UPLAND,California,39.7,36226.0,40221.0,76447,2898.0,16552.0,2.77,CA,Hispanic or Latino,30787
ROSEVILLE,California,38.4,62591.0,67691.0,130282,8386.0,18161.0,2.72,CA,White,103853
TRACY,California,35.5,43156.0,43937.0,87093,3025.0,25410.0,3.42,CA,Hispanic or Latino,32810
BOULDER,Colorado,29.0,56342.0,51000.0,107342,4061.0,12993.0,2.24,CO,Hispanic or Latino,9795
TOLEDO,Ohio,36.1,135455.0,144323.0,279778,15286.0,9257.0,2.29,OH,White,188325
SOUTH JORDAN,Utah,33.8,33669.0,32970.0,66639,2595.0,6142.0,3.61,UT,Hispanic or Latino,4672
SAVANNAH,Georgia,30.3,69389.0,76295.0,145684,9717.0,10355.0,2.57,GA,Black or African-American,82307
MACON,Georgia,36.0,71833.0,81626.0,153459,10735.0,4846.0,2.46,GA,Black or African-American,84569
ALBUQUERQUE,New Mexico,36.0,273323.0,285808.0,559131,37443.0,58200.0,2.49,NM,Hispanic or Latino,271854
EDMOND,Oklahoma,32.5,45191.0,44899.0,90090,5006.0,5585.0,2.68,OK,Hispanic or Latino,6187
PLANO,Texas,38.1,138565.0,145054.0,283619,11719.0,74030.0,2.65,TX,American Indian and Alaska Native,3771
CENTENNIAL,Colorado,42.4,53222.0,56504.0,109726,7226.0,9501.0,2.66,CO,White,98174
SUNRISE,Florida,37.7,41471.0,51235.0,92706,4108.0,38209.0,2.98,FL,Asian,3501
COLUMBIA,Maryland,37.9,52202.0,51265.0,103467,6526.0,23249.0,2.68,MD,White,58343
CLEVELAND,Ohio,36.0,186436.0,201623.0,388059,19849.0,18830.0,2.24,OH,White,166958
CASAS ADOBES,Arizona,44.8,30890.0,34375.0,65265,6601.0,7024.0,2.24,AZ,American Indian and Alaska Native,2047
PHOENIX,Arizona,33.8,786833.0,776168.0,1563001,72388.0,300702.0,2.89,AZ,Asian,66403
MANTECA,California,35.3,37053.0,38397.0,75450,3936.0,13942.0,3.25,CA,White,56156
CARROLLTON,Texas,36.9,66928.0,66218.0,133146,5720.0,35327.0,2.78,TX,Hispanic or Latino,46850
MEDFORD,Oregon,38.6,39606.0,40189.0,79795,6632.0,6185.0,2.65,OR,Asian,2135
MEDFORD,Oregon,38.6,39606.0,40189.0,79795,6632.0,6185.0,2.65,OR,American Indian and Alaska Native,1239
ODESSA,Texas,31.2,61119.0,57861.0,118980,5509.0,15845.0,2.92,TX,Black or African-American,7647
KENNEWICK,Washington,32.0,38492.0,40411.0,78903,5158.0,8376.0,2.78,WA,Black or African-American,2887
LITTLE ROCK,Arkansas,36.6,96997.0,100989.0,197986,12343.0,16640.0,2.36,AR,Hispanic or Latino,15500
TEMPE,Arizona,28.8,91350.0,84476.0,175826,7058.0,26620.0,2.44,AZ,Black or African-American,11293
TEMPE,Arizona,28.8,91350.0,84476.0,175826,7058.0,26620.0,2.44,AZ,Asian,17338
ARLINGTON,Texas,32.6,191060.0,197062.0,388122,17050.0,79271.0,2.89,TX,Hispanic or Latino,112078
ARLINGTON,Texas,32.6,191060.0,197062.0,388122,17050.0,79271.0,2.89,TX,Asian,31804
EDINBURG,Texas,29.3,39422.0,45079.0,84501,2409.0,16569.0,3.31,TX,White,77560
HAYWARD,California,34.3,78152.0,80148.0,158300,4385.0,60970.0,3.32,CA,Black or African-American,20219
GILBERT,Arizona,33.2,116711.0,130812.0,247523,10817.0,24531.0,3.2,AZ,White,211322
GILBERT,Arizona,33.2,116711.0,130812.0,247523,10817.0,24531.0,3.2,AZ,American Indian and Alaska Native,5965
FORT COLLINS,Colorado,29.6,80893.0,80288.0,161181,8425.0,9704.0,2.45,CO,Asian,7913
YONKERS,New York,38.0,96580.0,104538.0,201118,4801.0,61247.0,2.8,NY,White,129492
WEST VALLEY CITY,Utah,30.7,68235.0,67989.0,136224,4880.0,30712.0,3.81,UT,Asian,9550
LANCASTER,California,30.9,80668.0,80445.0,161113,7892.0,17247.0,3.25,CA,Black or African-American,36007
MORENO VALLEY,California,30.7,98584.0,105597.0,204181,8529.0,54442.0,3.9,CA,White,90391
EL MONTE,California,37.3,57961.0,58784.0,116745,1686.0,59655.0,3.67,CA,Asian,33384
MELBOURNE,Florida,43.4,39180.0,40956.0,80136,8363.0,9685.0,2.37,FL,Hispanic or Latino,6060
OLATHE,Kansas,33.0,65046.0,69270.0,134316,6042.0,11913.0,2.97,KS,Hispanic or Latino,16131
RALEIGH,North Carolina,32.8,219184.0,232765.0,451949,16747.0,65125.0,2.42,NC,Hispanic or Latino,51786
ALBANY,New York,32.8,47627.0,50825.0,98452,3643.0,11948.0,2.08,NY,American Indian and Alaska Native,1611
COMPTON,California,30.1,49264.0,49184.0,98448,897.0,30660.0,4.08,CA,American Indian and Alaska Native,298
MOUNT VERNON,New York,38.5,31876.0,36745.0,68621,2064.0,23777.0,2.85,NY,White,13106
CAPE CORAL,Florida,45.0,85626.0,89604.0,175230,14446.0,24185.0,2.85,FL,Black or African-American,7311
BISMARCK,North Dakota,38.0,34675.0,35565.0,70240,4145.0,2064.0,2.11,ND,White,64719
CLEVELAND,Ohio,36.0,186436.0,201623.0,388059,19849.0,18830.0,2.24,OH,Black or African-American,205395
CLEVELAND,Ohio,36.0,186436.0,201623.0,388059,19849.0,18830.0,2.24,OH,American Indian and Alaska Native,6140
HOUSTON,Texas,32.6,1149686.0,1148942.0,2298628,71898.0,696210.0,2.66,TX,American Indian and Alaska Native,13157
NORWALK,Connecticut,42.4,40880.0,47603.0,88483,2877.0,22328.0,2.7,CT,American Indian and Alaska Native,552
SOUTHFIELD,Michigan,41.6,31369.0,41808.0,73177,4035.0,4011.0,2.27,MI,Hispanic or Latino,573
PAWTUCKET,Rhode Island,39.2,36072.0,35511.0,71583,3173.0,17884.0,2.41,RI,Black or African-American,15513
OREM,Utah,26.1,48695.0,45762.0,94457,2828.0,12808.0,3.26,UT,Asian,3862
FLAGSTAFF,Arizona,23.9,33224.0,37093.0,70317,3667.0,4262.0,2.55,AZ,Black or African-American,3144
HUNTINGTON BEACH,California,41.6,99967.0,101960.0,201927,10454.0,35368.0,2.67,CA,American Indian and Alaska Native,2843
BOSTON,Massachusetts,31.8,322149.0,347320.0,669469,18350.0,190123.0,2.38,MA,Black or African-American,189347
EVANSTON,Illinois,36.8,34146.0,41377.0,75523,2058.0,15003.0,2.29,IL,Asian,8800
WEST VALLEY CITY,Utah,30.7,68235.0,67989.0,136224,4880.0,30712.0,3.81,UT,White,89145
SURPRISE,Arizona,39.4,62875.0,65567.0,128442,11109.0,9929.0,2.9,AZ,Asian,3153
EL CAJON,California,32.7,54450.0,49238.0,103688,7103.0,31865.0,3.14,CA,Hispanic or Latino,31542
MIRAMAR,Florida,36.6,66157.0,70958.0,137115,3077.0,57179.0,3.41,FL,Hispanic or Latino,46767
JOHNS CREEK,Georgia,39.0,40282.0,43057.0,83339,1983.0,29000.0,3.19,GA,White,48414
RAPID CITY,South Dakota,39.5,36122.0,37446.0,73568,7429.0,2375.0,2.31,SD,Asian,2170
MANCHESTER,New Hampshire,37.3,54845.0,55378.0,110223,5473.0,14506.0,2.4,NH,American Indian and Alaska Native,558
MERIDIAN,Idaho,38.0,43353.0,47400.0,90753,5640.0,8110.0,2.54,ID,White,84625
SIOUX FALLS,South Dakota,34.6,86596.0,84934.0,171530,8658.0,12934.0,2.38,SD,Asian,4689
DURHAM,North Carolina,33.2,121153.0,136445.0,257598,12528.0,38642.0,2.4,NC,White,127680
WICHITA FALLS,Texas,34.0,55775.0,48934.0,104709,7800.0,9855.0,2.41,TX,Black or African-American,14529
HUNTSVILLE,Alabama,38.1,91764.0,97350.0,189114,16637.0,12691.0,2.18,AL,White,121904
FREMONT,California,38.3,114383.0,117808.0,232191,4629.0,109427.0,3.12,CA,Black or African-American,7762
WILMINGTON,North Carolina,35.5,52346.0,63601.0,115947,5908.0,7401.0,2.24,NC,American Indian and Alaska Native,742
AMARILLO,Texas,33.8,99391.0,100260.0,199651,11008.0,21124.0,2.64,TX,Hispanic or Latino,65392
PHARR,Texas,26.9,35242.0,41293.0,76535,1376.0,25532.0,3.67,TX,White,73694
PHARR,Texas,26.9,35242.0,41293.0,76535,1376.0,25532.0,3.67,TX,Black or African-American,204
CHICAGO,Illinois,34.2,1320015.0,1400541.0,2720556,72042.0,573463.0,2.53,IL,American Indian and Alaska Native,23323
SPOKANE VALLEY,Washington,36.0,49933.0,44975.0,94908,7984.0,4199.0,2.39,WA,Hispanic or Latino,5110
ROCHESTER,New York,31.4,100135.0,109673.0,209808,7288.0,17735.0,2.36,NY,Hispanic or Latino,38004
NORFOLK,Virginia,30.2,128917.0,117476.0,246393,29445.0,16702.0,2.51,VA,Asian,11854
REDDING,California,38.8,42530.0,49049.0,91579,6926.0,5181.0,2.42,CA,American Indian and Alaska Native,4352
PALATINE,Illinois,38.0,36506.0,32763.0,69269,2629.0,21760.0,2.69,IL,White,46246
LAKE CHARLES,Louisiana,31.8,35678.0,40388.0,76066,4477.0,3215.0,2.36,LA,Hispanic or Latino,3157
FRISCO,Texas,37.2,73989.0,80399.0,154388,6297.0,30913.0,3.05,TX,Black or African-American,10821
GRAND RAPIDS,Michigan,32.1,95669.0,99430.0,195099,8972.0,19176.0,2.56,MI,Asian,6057
CHESAPEAKE,Virginia,36.7,114964.0,120465.0,235429,29772.0,13966.0,2.73,VA,White,150414
WESTLAND,Michigan,39.9,37742.0,44253.0,81995,4756.0,6429.0,2.41,MI,White,60576
COLUMBIA,Missouri,26.8,56544.0,62554.0,119098,4548.0,10729.0,2.37,MO,White,96067
GLENDALE,Arizona,34.4,116795.0,123319.0,240114,13241.0,44133.0,2.89,AZ,Asian,15245
FISHERS,Indiana,34.5,42161.0,43910.0,86071,2469.0,6138.0,2.8,IN,Asian,7571
HARLINGEN,Texas,30.1,32404.0,33365.0,65769,2761.0,10391.0,3.0,TX,White,61844
PEMBROKE PINES,Florida,40.3,77050.0,89574.0,166624,6849.0,62210.0,2.94,FL,White,113624
PEMBROKE PINES,Florida,40.3,77050.0,89574.0,166624,6849.0,62210.0,2.94,FL,American Indian and Alaska Native,1076
SPRINGDALE,Arkansas,31.8,36840.0,43614.0,80454,3397.0,19969.0,3.04,AR,Black or African-American,1859
GOODYEAR,Arizona,38.6,36711.0,42292.0,79003,7650.0,11774.0,2.97,AZ,Hispanic or Latino,21603
JOLIET,Illinois,33.1,70863.0,79162.0,150025,7353.0,22409.0,3.13,IL,White,106160
LYNN,Massachusetts,34.8,44598.0,47861.0,92459,3093.0,29899.0,2.81,MA,White,50652
BRENTWOOD,New York,34.2,31395.0,32397.0,63792,1492.0,27058.0,4.98,NY,White,46347
ANCHORAGE,Alaska,32.2,152945.0,145750.0,298695,27492.0,33258.0,2.77,AK,American Indian and Alaska Native,36339
RIVERSIDE,California,31.4,160613.0,161810.0,322423,12373.0,69584.0,3.34,CA,Asian,27675
TALLAHASSEE,Florida,26.2,89390.0,100504.0,189894,9575.0,16720.0,2.38,FL,American Indian and Alaska Native,1368
MINNEAPOLIS,Minnesota,32.4,206547.0,204388.0,410935,15217.0,70769.0,2.26,MN,Asian,33854
CORONA,California,37.1,79749.0,84493.0,164242,7709.0,42131.0,2.97,CA,Asian,21044
SUNNYVALE,California,35.7,79480.0,72280.0,151760,3900.0,71441.0,2.74,CA,Asian,69472
CONCORD,North Carolina,35.7,42732.0,44961.0,87693,4621.0,8847.0,2.72,NC,Black or African-American,19027
ROCHESTER,Minnesota,35.0,54934.0,57282.0,112216,6888.0,17763.0,2.55,MN,White,93477
ABILENE,Texas,31.3,65212.0,60664.0,125876,9367.0,8129.0,2.64,TX,White,95487
SANTA CLARITA,California,38.1,90192.0,92175.0,182367,8537.0,40666.0,3.02,CA,Black or African-American,9223
DEERFIELD BEACH,Florida,41.4,37155.0,42614.0,79769,3882.0,23642.0,2.46,FL,Hispanic or Latino,12729
BILLINGS,Montana,36.3,52705.0,57565.0,110270,9121.0,3206.0,2.4,MT,Asian,1873
LAWRENCE,Kansas,27.4,45592.0,48324.0,93916,2986.0,8701.0,2.53,KS,White,79793
BEAUMONT,Texas,31.6,57326.0,60784.0,118110,7584.0,10516.0,2.47,TX,Hispanic or Latino,18815
TUSTIN,California,33.4,39511.0,41052.0,80563,2434.0,25034.0,3.27,CA,Hispanic or Latino,33998
CHICO,California,29.9,46168.0,44168.0,90336,4519.0,8425.0,2.5,CA,Black or African-American,3164
HOOVER,Alabama,38.5,38040.0,46799.0,84839,4819.0,8229.0,2.58,AL,White,61869
RANCHO CUCAMONGA,California,34.5,88127.0,87105.0,175232,5821.0,33878.0,3.18,CA,Hispanic or Latino,65823
COLUMBIA,South Carolina,28.0,67686.0,65707.0,133393,5708.0,6074.0,2.32,SC,White,73232
FEDERAL WAY,Washington,36.4,49151.0,46037.0,95188,7135.0,18565.0,2.68,WA,White,59035
URBAN HONOLULU,Hawaii,41.4,176807.0,175959.0,352766,23213.0,101312.0,2.69,HI,White,110508
URBAN HONOLULU,Hawaii,41.4,176807.0,175959.0,352766,23213.0,101312.0,2.69,HI,American Indian and Alaska Native,5592
GAINESVILLE,Florida,26.0,60803.0,69330.0,130133,4788.0,15272.0,2.33,FL,White,87612
RICHMOND,California,35.3,52615.0,57100.0,109715,3611.0,42215.0,2.87,CA,Hispanic or Latino,45132
PEORIA,Illinois,33.1,56229.0,62432.0,118661,6634.0,7517.0,2.4,IL,White,77074
OAKLAND,California,35.7,203827.0,215451.0,419278,12159.0,113896.0,2.56,CA,Hispanic or Latino,114054
PARADISE,Nevada,37.2,122784.0,114162.0,236946,14112.0,66712.0,2.65,NV,White,147624
BROKEN ARROW,Oklahoma,36.8,52136.0,55459.0,107595,6797.0,6845.0,2.77,OK,White,94366
CINCINNATI,Ohio,32.7,143654.0,154883.0,298537,13699.0,16896.0,2.08,OH,American Indian and Alaska Native,3362
NEW BRAUNFELS,Texas,37.0,33071.0,36852.0,69923,5204.0,5405.0,2.85,TX,Black or African-American,3471
LIVERMORE,California,36.7,41522.0,46595.0,88117,3063.0,13959.0,2.91,CA,Asian,14116
FONTANA,California,29.5,100644.0,106828.0,207472,4076.0,61448.0,4.15,CA,White,85044
LAUDERHILL,Florida,35.7,32813.0,38761.0,71574,1965.0,25471.0,3.02,FL,White,10788
LAUDERHILL,Florida,35.7,32813.0,38761.0,71574,1965.0,25471.0,3.02,FL,Black or African-American,56948
WORCESTER,Massachusetts,34.9,90951.0,93855.0,184806,9408.0,36907.0,2.43,MA,Hispanic or Latino,39000
SANTA ROSA,California,37.9,86840.0,88149.0,174989,9101.0,33015.0,2.7,CA,American Indian and Alaska Native,8859
UNION CITY,California,38.5,38599.0,35911.0,74510,1440.0,32752.0,3.46,CA,Hispanic or Latino,13207
FORT LAUDERDALE,Florida,42.8,93948.0,84639.0,178587,8897.0,47582.0,2.38,FL,White,109751
FORT LAUDERDALE,Florida,42.8,93948.0,84639.0,178587,8897.0,47582.0,2.38,FL,Asian,3791
RICHMOND,Virginia,33.6,104793.0,115496.0,220289,12538.0,15741.0,2.29,VA,White,104568
OGDEN,Utah,31.3,44323.0,41127.0,85450,5080.0,12791.0,2.68,UT,Asian,1911
CEDAR RAPIDS,Iowa,36.2,63109.0,67296.0,130405,7823.0,5404.0,2.32,IA,Asian,5406
ALBUQUERQUE,New Mexico,36.0,273323.0,285808.0,559131,37443.0,58200.0,2.49,NM,American Indian and Alaska Native,32243
FAYETTEVILLE,North Carolina,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5,NC,White,102075
CORAL SPRINGS,Florida,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17,FL,American Indian and Alaska Native,1262
BRANDON,Florida,36.1,55679.0,58289.0,113968,9417.0,16390.0,2.64,FL,Hispanic or Latino,26224
NEW ORLEANS,Louisiana,35.9,185736.0,203881.0,389617,17388.0,21679.0,2.41,LA,American Indian and Alaska Native,2496
SEATTLE,Washington,35.5,345659.0,338784.0,684443,29364.0,119840.0,2.13,WA,Asian,121507
TOWN 'N' COUNTRY,Florida,38.1,39410.0,39586.0,78996,4534.0,22135.0,2.61,FL,Asian,3347
SAINT CLOUD,Minnesota,30.7,34311.0,33942.0,68253,5012.0,5757.0,2.41,MN,American Indian and Alaska Native,1169
SURPRISE,Arizona,39.4,62875.0,65567.0,128442,11109.0,9929.0,2.9,AZ,American Indian and Alaska Native,1883
